t_list,x_list,v0_scn,L_scn,n_scn,N. file,LWR_flag
"[447.43999999999994, 447.48999999999995, 447.53999999999996, 447.59, 447.64, 447.69, 447.74, 447.78999999999996, 447.84, 447.89, 447.93999999999994, 447.98999999999995, 448.03999999999996]","[array([45.01376376, 46.03032176, 47.11046617, 48.23845203, 49.40417209,
       50.60068044, 51.82295598, 53.06723503, 54.33060523, 55.61075969,
       56.90583053, 58.21428298, 59.53483748]), array([49.5350514 , 51.03213659, 52.53383779, 54.03991329, 55.55014174,
       57.06431994, 58.58226046, 60.1037905 , 61.62875004, 63.15699067,
       64.68837413, 66.22277183, 67.76006369]), array([63.13879414, 64.89110725, 66.64342035, 68.39573345, 70.14804655,
       71.90035966, 73.65267276, 75.40498586, 77.15729897, 78.90961207,
       80.66192517, 82.41423828, 84.16655138])]",35.04626205837499,2.0,20,1,Lin
"[495.84, 495.89, 495.93999999999994, 495.98999999999995, 496.03999999999996, 496.09, 496.14, 496.19, 496.24]","[array([39.78329433, 40.89913194, 42.01324145, 43.12575653, 44.23678594,
       45.34642091, 46.45473996, 47.56181178, 48.66769751]), array([71.34368703, 71.97937564, 72.66583944, 73.39199555, 74.1502849 ,
       74.93528277, 75.74293455, 76.57012081, 77.41437872]), array([77.21514684, 78.44881444, 79.68248203, 80.91614963, 82.14981723,
       83.38348482, 84.61715242, 85.85082002, 87.08448761])]",24.673351934255145,2.990929165551886,21,1,Lin
"[496.84, 496.89, 496.93999999999994, 496.98999999999995, 497.03999999999996, 497.09, 497.14, 497.19, 497.24, 497.29, 497.34000000000003, 497.39, 497.44, 497.49, 497.53999999999996, 497.59, 497.64]","[array([32.92039697, 33.92762797, 34.93365989, 35.93855842, 36.94238245,
       37.94518535, 38.94701607, 39.94791977, 40.94793841, 41.94711125,
       42.94547533, 43.94306552, 44.93991492, 45.93605499, 46.93151575,
       47.92632602, 48.92051333]), array([53.80017695, 54.56870437, 55.35446128, 56.15510546, 56.96878193,
       57.79399182, 58.62950173, 59.47428387, 60.32747209, 61.18832737,
       62.05621128, 62.93057013, 63.81091917, 64.69683245, 65.58793184,
       66.48387847, 67.38436997]), array([60.06827863, 61.18289869, 62.29751875, 63.4121388 , 64.52675886,
       65.64137891, 66.75599897, 67.87061902, 68.98523908, 70.09985913,
       71.21447919, 72.32909924, 73.4437193 , 74.55833936, 75.67295941,
       76.78757947, 77.90219952])]",22.292401109843027,2.0,22,1,Lin
"[499.03999999999996, 499.09, 499.14, 499.19, 499.24, 499.29, 499.34000000000003, 499.39, 499.44]","[array([45.16576677, 46.1816823 , 47.1968853 , 48.21140422, 49.22526523,
       50.23849253, 51.25110877, 52.26313508, 53.27459135]), array([70.13439753, 70.94667475, 71.76966287, 72.60226421, 73.44355805,
       74.29276227, 75.14920348, 76.01229934, 76.8815416 ]), array([77.54219953, 78.64697456, 79.75174959, 80.85652462, 81.96129965,
       83.06607469, 84.17084972, 85.27562475, 86.38039978])]",22.095500635160356,2.0,23,1,Lin
"[500.64, 500.69, 500.74, 500.78999999999996, 500.84, 500.89, 500.93999999999994, 500.98999999999995, 501.03999999999996]","[array([36.49947975, 37.08908737, 37.68590005, 38.28928809, 38.89870891,
       39.5136914 , 40.13382091, 40.75873291, 41.38810378]), array([43.06422892, 43.85291987, 44.64170262, 45.43057672, 46.21954169,
       47.00859709, 47.79774244, 48.58697729, 49.3763012 ]), array([74.39683215, 75.23924961, 76.08166707, 76.92408453, 77.766502  ,
       78.60891946, 79.45133692, 80.29375438, 81.13617184])]",16.848349245079824,2.0,24,1,Lin
"[502.24, 502.29, 502.34000000000003, 502.39, 502.44, 502.49, 502.53999999999996, 502.59, 502.64, 502.69, 502.74, 502.78999999999996, 502.84, 502.89, 502.93999999999994, 502.98999999999995, 503.03999999999996]","[array([33.19840612, 33.68172485, 34.20049923, 34.74704325, 35.31610072,
       35.90389113, 36.50758374, 37.12499879, 37.75441248, 38.39443508,
       39.04392405, 39.7019294 , 40.36765117, 41.04040716, 41.71960873,
       42.40474598, 43.09537309]), array([37.18466714, 38.04816653, 38.91180597, 39.77558456, 40.63950139,
       41.50355556, 42.36774618, 43.23207237, 44.09653326, 44.961128  ,
       45.82585574, 46.69071562, 47.55570682, 48.42082853, 49.2860799 ,
       50.15146016, 51.01696848]), array([66.18904415, 67.11642053, 68.04379692, 68.97117331, 69.89854969,
       70.82592608, 71.75330247, 72.68067885, 73.60805524, 74.53543163,
       75.46280801, 76.3901844 , 77.31756079, 78.24493717, 79.17231356,
       80.09968995, 81.02706633])]",18.547527733400674,2.0,25,1,Lin
"[534.84, 534.89, 534.94, 534.99, 535.04, 535.0899999999999, 535.14, 535.19, 535.24]","[array([34.71300812, 34.76474324, 35.0344309 , 35.44159165, 35.94569232,
       36.52291445, 37.15785143, 37.83986106, 38.56122543]), array([40.14357858, 41.37437559, 42.60731354, 43.84234161, 45.07941095,
       46.31847458, 47.55948726, 48.80240548, 50.04718732]), array([72.71564467, 74.21266129, 75.7096779 , 77.20669452, 78.70371114,
       80.20072775, 81.69774437, 83.19476099, 84.6917776 ])]",29.940332329396966,5.81607387643368,26,1,Lin
"[573.84, 573.89, 573.94, 573.99, 574.04, 574.0899999999999, 574.14, 574.19, 574.24, 574.29, 574.3399999999999, 574.39, 574.4399999999999]","[array([42.76867897, 43.34798901, 43.92755851, 44.50738527, 45.08746741,
       45.66780216, 46.24838772, 46.82922204, 47.41030324, 47.99162886,
       48.57319712, 49.15500613, 49.73705397]), array([56.8565305 , 57.47425232, 58.09211288, 58.7101112 , 59.32824641,
       59.94651726, 60.56492291, 61.18346242, 61.80213494, 62.42093932,
       63.03987475, 63.65894035, 64.27813521]), array([80.39402663, 81.06903482, 81.74404301, 82.4190512 , 83.09405938,
       83.76906757, 84.44407576, 85.11908395, 85.79409214, 86.46910033,
       87.14410852, 87.81911671, 88.4941249 ])]",13.500163784087583,2.0,27,1,Lin
"[14.240000000000002, 14.290000000000003, 14.340000000000002, 14.39, 14.440000000000001, 14.490000000000002, 14.540000000000001, 14.59, 14.64]","[array([47.39131046, 48.00024018, 48.82843077, 49.80312996, 50.88339761,
       52.04280596, 53.26276878, 54.52943225, 55.83200884]), array([51.39004619, 53.35484541, 55.27046775, 57.13685689, 58.95409055,
       60.72239305, 62.4421509 , 64.1139191 , 65.73843296]), array([71.53057024, 72.47742226, 73.42427428, 74.37112631, 75.31797833,
       76.26483035, 77.21168238, 78.1585344 , 79.10538643])]",18.937040474240142,2.463865462887221,0,1,Log
"[23.64, 23.69, 23.740000000000002, 23.790000000000003, 23.840000000000003, 23.890000000000004, 23.940000000000005, 23.990000000000002, 24.040000000000003, 24.090000000000003, 24.14, 24.19, 24.240000000000002, 24.290000000000003, 24.340000000000003, 24.39, 24.44, 24.490000000000002, 24.54, 24.59, 24.64]","[array([39.20354853, 39.759523  , 40.51188974, 41.40929842, 42.41841364,
       43.51593237, 44.68470668, 45.91165281, 47.18649999, 48.50101539,
       49.84848396, 51.2233644 , 52.62103115, 54.03759498, 55.46976077,
       56.9147291 , 58.37011187, 59.83386733, 61.3042455 , 62.7797493 ,
       64.25909949]), array([46.59381456, 48.46047959, 50.29662694, 52.10376064, 53.88338048,
       55.63697294, 57.36600477, 59.07191321, 60.75610108, 62.41993008,
       64.06471785, 65.69173096, 67.30218378, 68.89723513, 70.47798857,
       72.04548878, 73.60072304, 75.14462082, 76.67805659, 78.20184823,
       79.71676003]), array([67.1031215 , 68.52308831, 69.94305513, 71.36302195, 72.78298877,
       74.20295558, 75.6229224 , 77.04288922, 78.46285603, 79.88282285,
       81.30278967, 82.72275648, 84.1427233 , 85.56269012, 86.98265694,
       88.40262375, 89.82259057, 91.24255739, 92.6625242 , 94.08249102,
       95.50245784])]",28.399336339796896,5.447717021480639,1,1,Log
"[72.44, 72.49, 72.53999999999999, 72.59, 72.64, 72.69, 72.74000000000001, 72.79, 72.84, 72.89, 72.94, 72.99000000000001, 73.04, 73.09, 73.14000000000001, 73.19000000000001, 73.24000000000001, 73.29, 73.34, 73.39, 73.44]","[array([ 2.73338702,  3.84979068,  4.9986991 ,  6.17682765,  7.38128427,
        8.60950717,  9.85921444, 11.12836469, 12.41512351, 13.71783687,
       15.03500773, 16.36527861, 17.70741468, 19.06029068, 20.42287836,
       21.79423762, 23.17350765, 24.55989915, 25.95268634, 27.35120361,
       28.75483874]), array([24.60125514, 26.27174875, 27.93005617, 29.57657208, 31.21168577,
       32.83578064, 34.44923383, 36.05241575, 37.64568981, 39.22941202,
       40.80393091, 42.36958702, 43.92671289, 45.47563274, 47.01666268,
       48.55011012, 50.07627399, 51.5954445 , 53.10790376, 54.61392479,
       56.11377221]), array([57.93441825, 59.30506941, 60.67572056, 62.04637172, 63.41702288,
       64.78767404, 66.15832519, 67.52897635, 68.89962751, 70.27027867,
       71.64092983, 73.01158098, 74.38223214, 75.7528833 , 77.12353446,
       78.49418562, 79.86483677, 81.23548793, 82.60613909, 83.97679025,
       85.34744141])]",27.41302315942726,9.808519532643537,2,1,Log
"[84.24000000000001, 84.29, 84.34, 84.39000000000001, 84.44000000000001, 84.49000000000001, 84.54, 84.59, 84.64, 84.69, 84.74000000000001, 84.79, 84.84]","[array([21.74922515, 22.23168317, 22.85567211, 23.59143878, 24.41841458,
       25.32152683, 26.28924715, 27.3124721 , 28.38382257, 29.49719366,
       30.64744356, 31.83018364, 33.04161819]), array([30.53274927, 32.51139073, 34.46627689, 36.39746281, 38.30501904,
       40.18903193, 42.04960467, 43.88685683, 45.70092538, 47.4919646 ,
       49.26014731, 51.00566363, 52.72872213]), array([72.12361339, 73.14764817, 74.17168294, 75.19571772, 76.2197525 ,
       77.24378728, 78.26782205, 79.29185683, 80.31589161, 81.33992639,
       82.36396116, 83.38799594, 84.41203072])]",20.480695552067253,5.954015520831456,3,1,Log
"[131.64, 131.69, 131.74, 131.79, 131.84, 131.89, 131.94, 131.99, 132.04]","[array([29.92533961, 30.33599187, 31.03279002, 31.90564652, 32.90309343,
       33.9950615 , 35.16174252, 36.3890489 , 37.66639702]), array([32.50621833, 34.66961924, 36.80293154, 38.90559552, 40.97704632,
       43.01671535, 45.02403313, 46.9984305 , 48.9393422 ]), array([68.80830847, 69.55976228, 70.31121608, 71.06266989, 71.81412369,
       72.5655775 , 73.3170313 , 74.06848511, 74.81993891])]",15.029076109613957,2.0,4,1,Log
"[148.04, 148.08999999999997, 148.14, 148.19, 148.23999999999998, 148.29, 148.33999999999997, 148.39, 148.44]","[array([48.20188876, 49.44005974, 50.67676869, 51.91456857, 53.15545112,
       54.4009428 , 55.65218623, 56.91000974, 58.17498429]), array([61.00463006, 62.21651565, 63.4524734 , 64.70960484, 65.98542662,
       67.27779706, 68.58485664, 69.90498638, 71.23677046]), array([73.44573965, 74.88208843, 76.31843721, 77.754786  , 79.19113478,
       80.62748356, 82.06383234, 83.50018112, 84.9365299 ])]",28.72697561417648,5.400104564158416,5,1,Log
"[161.64, 161.69, 161.74, 161.79, 161.84, 161.89, 161.94, 161.99, 162.04]","[array([28.43130969, 28.92988675, 29.6384099 , 30.50212701, 31.48621211,
       32.56655219, 33.7254537 , 34.94938238, 36.22764484]), array([35.84145807, 37.97103855, 40.06466511, 42.12282691, 44.14606344,
       46.13496365, 48.09016592, 50.01235502, 51.90226124]), array([66.68112381, 67.93017255, 69.17922129, 70.42827003, 71.67731877,
       72.92636751, 74.17541625, 75.42446499, 76.67351373])]",24.980974802776416,5.52524052748674,6,1,Log
