t_list,x_list,v_list,v0_scn,v0_scn_mean,n_scn,N. file,iter,DOE,processed
"[239.84, 239.89, 239.94, 239.99, 240.04, 240.09, 240.14, 240.19, 240.24]","[array([48.59390635, 48.69752463, 48.8011429 , 48.90476118, 49.00837946,
       49.0992739 , 49.19016835, 49.2810628 , 49.37195725]), array([52.1040819 , 52.96722258, 53.83036326, 54.69350394, 55.55664461,
       56.49931191, 57.4419792 , 58.3846465 , 59.32731379]), array([83.16761012, 84.66844227, 86.16927442, 87.67010657, 89.17093871,
       90.67177086, 92.17260301, 93.67343516, 95.17426731])]","[[2.0723655223846436, 17.262813568115234, 30.01664295650833], [1.8178889751434326, 18.85334587097168, 30.01664295650833]]","[30, 30.004374651483392, 30.00860348125076, 30.012691350025843, 30.01664295650833]",30.008462487853667,10,8,5,"[1, 2, 1]",post
"[243.44, 243.49, 243.54000000000002, 243.59, 243.64000000000001, 243.69, 243.74, 243.79000000000002, 243.84, 243.89, 243.94, 243.99, 244.04, 244.09, 244.14, 244.19, 244.24]","[array([53.06612961, 53.30725257, 53.54837553, 53.78949849, 54.03062145,
       54.18639233, 54.3421632 , 54.49793407, 54.65370495, 54.70893139,
       54.76415784, 54.81938428, 54.87461073, 54.96193885, 55.04926698,
       55.1365951 , 55.22392323]), array([58.34896867, 58.94998304, 59.55099742, 60.15201179, 60.75302617,
       61.48899886, 62.22497155, 62.96094424, 63.69691693, 64.56199738,
       65.42707784, 66.29215829, 67.15723874, 67.96381051, 68.77038228,
       69.57695405, 70.38352582]), array([71.8065619 , 73.22250297, 74.63844404, 76.05438511, 77.47032618,
       78.88626725, 80.30220832, 81.71814939, 83.13409046, 84.55003154,
       85.96597261, 87.38191368, 88.79785475, 90.21379582, 91.62973689,
       93.04567796, 94.46161903])]","[[4.8224592208862305, 12.02028751373291, 28.318821419312215], [3.11541748046875, 14.719453811645508, 28.318821419312215], [1.1045289039611816, 17.30160903930664, 28.318821419312215], [1.7465624809265137, 16.13143539428711, 28.318821419312215]]","[30, 29.558097122454775, 29.13092434082762, 28.71799065192146, 28.318821419312215]",29.14516670690322,11,8,5,"[1, 2, 1]",post
"[251.64000000000001, 251.69, 251.74, 251.79000000000002, 251.84, 251.89, 251.94, 251.99, 252.04, 252.09, 252.14, 252.19, 252.24, 252.29000000000002, 252.34, 252.39, 252.44, 252.49, 252.54000000000002, 252.59, 252.64000000000001]","[array([22.20522727, 23.15676507, 24.10830287, 25.05984067, 26.01137847,
       26.96537341, 27.91936835, 28.87336329, 29.82735823, 30.77532338,
       31.72328852, 32.67125367, 33.61921881, 34.55437344, 35.48952807,
       36.4246827 , 37.35983733, 38.28277844, 39.20571955, 40.12866067,
       41.05160178]), array([65.14310879, 65.23778462, 65.33246045, 65.42713627, 65.5218121 ,
       65.61855722, 65.71530234, 65.81204746, 65.90879259, 66.01911031,
       66.12942802, 66.23974574, 66.35006346, 66.47404243, 66.59802141,
       66.72200038, 66.84597935, 66.99074069, 67.13550202, 67.28026336,
       67.4250247 ]), array([68.68525952, 70.12074251, 71.55622551, 72.9917085 , 74.42719149,
       75.86267448, 77.29815748, 78.73364047, 80.16912346, 81.60460646,
       83.04008945, 84.47557244, 85.91105543, 87.34653843, 88.78202142,
       90.21750441, 91.6529874 , 93.0884704 , 94.52395339, 95.95943638,
       97.39491937])]","[[19.0307559967041, 1.8935165405273438, 28.709659853624153], [19.079898834228516, 1.9349024295806885, 28.709659853624153], [18.95930290222168, 2.2063543796539307, 28.709659853624153], [18.703092575073242, 2.479579448699951, 28.709659853624153], [18.45882225036621, 2.8952267169952393, 28.709659853624153]]","[30, 29.660830187675636, 29.332966035762087, 29.016030688912302, 28.709659853624153]",29.343897353194837,12,8,5,"[1, 2, 1]",post
"[290.84000000000003, 290.89000000000004, 290.94000000000005, 290.99, 291.04, 291.09000000000003, 291.14, 291.19, 291.24, 291.29, 291.34000000000003, 291.39000000000004, 291.44000000000005]","[array([20.18738595, 20.81398655, 21.44058715, 22.06718775, 22.69378835,
       23.37836395, 24.06293956, 24.74751516, 25.43209077, 26.02469755,
       26.61730434, 27.20991112, 27.8025179 ]), array([42.29365145, 43.23224446, 44.17083746, 45.10943047, 46.04802348,
       46.99598929, 47.9439551 , 48.89192091, 49.83988673, 50.67112271,
       51.50235869, 52.33359467, 53.16483065]), array([75.46593632, 76.93663125, 78.40732618, 79.87802111, 81.34871603,
       82.81941096, 84.29010589, 85.76080082, 87.23149575, 88.70219068,
       90.17288561, 91.64358054, 93.11427547])]","[[12.532011985778809, 18.771860122680664, 29.413898583724382], [13.691512107849121, 18.95931625366211, 29.413898583724382], [11.85213565826416, 16.624719619750977, 29.413898583724382]]","[30, 29.845941469061618, 29.69701822248828, 29.553059084133714, 29.413898583724382]",29.701983471881597,13,8,5,"[1, 2, 1]",post
"[350.64, 350.69, 350.74, 350.78999999999996, 350.84, 350.89, 350.93999999999994, 350.98999999999995, 351.03999999999996, 351.09, 351.14, 351.19, 351.24, 351.28999999999996, 351.34, 351.39, 351.43999999999994, 351.48999999999995, 351.53999999999996, 351.59, 351.64]","[array([34.07341644, 34.1736944 , 34.27397236, 34.37425032, 34.47452828,
       34.54473796, 34.61494764, 34.68515732, 34.755367  , 34.92498234,
       35.09459769, 35.26421303, 35.43382837, 35.64426013, 35.8546919 ,
       36.06512367, 36.27555543, 36.50008816, 36.72462088, 36.9491536 ,
       37.17368633]), array([36.10997558, 36.96535698, 37.82073837, 38.67611976, 39.53150116,
       40.39580198, 41.2601028 , 42.12440363, 42.98870445, 43.76171742,
       44.53473039, 45.30774336, 46.08075634, 47.01151996, 47.94228359,
       48.87304721, 49.80381084, 50.86625419, 51.92869754, 52.9911409 ,
       54.05358425]), array([60.45659703, 61.91866427, 63.38073152, 64.84279876, 66.304866  ,
       67.76693324, 69.22900048, 70.69106772, 72.15313496, 73.6152022 ,
       75.07726945, 76.53933669, 78.00140393, 79.46347117, 80.92553841,
       82.38760565, 83.84967289, 85.31174014, 86.77380738, 88.23587462,
       89.69794186])]","[[2.005559206008911, 17.107627868652344, 29.241344827617812], [1.404193639755249, 17.2860164642334, 29.241344827617812], [3.3923068046569824, 15.460259437561035, 29.241344827617812], [4.208635330200195, 18.615272521972656, 29.241344827617812], [4.490654468536377, 21.24886703491211, 29.241344827617812]]","[30, 29.80058519208403, 29.607817544431878, 29.421475485035003, 29.241344827617812]",29.614244609833747,14,8,5,"[1, 2, 1]",post
"[368.84, 368.89, 368.93999999999994, 368.98999999999995, 369.03999999999996, 369.09, 369.14, 369.19, 369.24, 369.28999999999996, 369.34, 369.39, 369.43999999999994]","[array([40.1943434 , 40.32717072, 40.45999804, 40.59282536, 40.72565267,
       40.82846395, 40.93127523, 41.0340865 , 41.13689778, 41.19298126,
       41.24906473, 41.30514821, 41.36123169]), array([45.08792954, 45.72272024, 46.35751095, 46.99230166, 47.62709236,
       48.3291214 , 49.03115044, 49.73317948, 50.43520851, 51.2106637 ,
       51.98611889, 52.76157408, 53.53702927]), array([73.75575961, 75.17340694, 76.59105428, 78.00870161, 79.42634894,
       80.84399628, 82.26164361, 83.67929094, 85.09693828, 86.51458561,
       87.93223294, 89.34988028, 90.76752761])]","[[2.6565463542938232, 12.69581413269043, 28.352946667522733], [2.056225538253784, 14.040580749511719, 28.352946667522733], [1.1216695308685303, 15.509103775024414, 28.352946667522733]]","[30, 29.56706704721722, 29.14856519286053, 28.74401340031587, 28.352946667522733]",29.16251846158327,15,8,5,"[1, 2, 1]",post
"[414.43999999999994, 414.48999999999995, 414.53999999999996, 414.59, 414.64, 414.69, 414.74, 414.78999999999996, 414.84]","[array([15.62518069, 16.60743358, 17.58968646, 18.57193934, 19.55419223,
       20.56206452, 21.56993682, 22.57780912, 23.58568141]), array([49.2779378 , 50.16197081, 51.04600382, 51.93003683, 52.81406984,
       53.68670101, 54.55933218, 55.43196335, 56.30459452]), array([79.46040868, 80.86365137, 82.26689405, 83.67013674, 85.07337942,
       86.4766221 , 87.87986479, 89.28310747, 90.68635015])]","[[19.645057678222656, 17.680660247802734, 28.06485367272713], [20.157445907592773, 17.45262336730957, 28.06485367272713]]","[30, 29.491340931703277, 28.999637165683062, 28.52432352519706, 28.06485367272713]",29.016031059062108,16,8,5,"[1, 2, 1]",post
"[477.84, 477.89, 477.93999999999994, 477.98999999999995, 478.03999999999996, 478.09, 478.14, 478.19, 478.24, 478.29, 478.34000000000003, 478.39, 478.44, 478.49, 478.53999999999996, 478.59, 478.64, 478.69, 478.74, 478.78999999999996, 478.84]","[array([19.1252018 , 19.74472389, 20.36424599, 20.98376808, 21.60329018,
       22.19195614, 22.7806221 , 23.36928806, 23.95795402, 24.54089565,
       25.12383728, 25.70677891, 26.28972053, 26.9394855 , 27.58925047,
       28.23901544, 28.8887804 , 29.49383292, 30.09888544, 30.70393796,
       31.30899048]), array([35.66345425, 36.71010609, 37.75675793, 38.80340977, 39.85006161,
       40.90024147, 41.95042133, 43.0006012 , 44.05078106, 45.10247879,
       46.15417652, 47.20587425, 48.25757198, 49.44830971, 50.63904743,
       51.82978516, 53.02052288, 54.20531006, 55.39009724, 56.57488441,
       57.75967159]), array([64.20887785, 65.65351205, 67.09814625, 68.54278045, 69.98741464,
       71.43204884, 72.87668304, 74.32131724, 75.76595144, 77.21058564,
       78.65521983, 80.09985403, 81.54448823, 82.98912243, 84.43375663,
       85.87839083, 87.32302503, 88.76765922, 90.21229342, 91.65692762,
       93.10156182])]","[[12.39044189453125, 20.93303680419922, 28.89268396914805], [11.773319244384766, 21.003597259521484, 28.89268396914805], [11.658832550048828, 21.033954620361328, 28.89268396914805], [12.995299339294434, 23.814754486083984, 28.89268396914805], [12.10105037689209, 23.695743560791016, 28.89268396914805]]","[30, 29.708938630311703, 29.42757930627974, 29.15559862638218, 28.89268396914805]",29.436960106424333,17,8,5,"[1, 2, 1]",post
"[522.64, 522.6899999999999, 522.74, 522.79, 522.8399999999999, 522.8899999999999, 522.9399999999999, 522.99, 523.04]","[array([19.0733761 , 19.430661  , 19.7879459 , 20.14523081, 20.50251571,
       20.86969491, 21.23687412, 21.60405332, 21.97123252]), array([33.80940886, 34.6480279 , 35.48664694, 36.32526598, 37.16388502,
       37.97321768, 38.78255034, 39.59188299, 40.40121565]), array([69.70735711, 71.17664268, 72.64592826, 74.11521384, 75.58449942,
       77.05378499, 78.52307057, 79.99235615, 81.46164173])]","[[7.145698070526123, 16.772380828857422, 29.385711550794362], [7.343584060668945, 16.18665313720703, 29.385711550794362]]","[30, 29.838532422156046, 29.682447096906813, 29.531564615832842, 29.385711550794362]",29.687651137138012,18,8,5,"[1, 2, 1]",post
"[593.04, 593.0899999999999, 593.14, 593.19, 593.24, 593.29, 593.3399999999999, 593.39, 593.4399999999999, 593.49, 593.54, 593.5899999999999, 593.64, 593.69, 593.74, 593.79, 593.84, 593.89, 593.94, 593.99, 594.04, 594.0899999999999, 594.14, 594.19, 594.24, 594.29, 594.3399999999999, 594.39, 594.4399999999999]","[array([32.21455126, 32.88161812, 33.54868498, 34.21575184, 34.8828187 ,
       35.58777199, 36.29272528, 36.99767857, 37.70263186, 38.59308176,
       39.48353167, 40.37398158, 41.26443148, 42.2963357 , 43.32823992,
       44.36014414, 45.39204836, 46.55324517, 47.71444197, 48.87563878,
       50.03683558, 51.3515853 , 52.66633501, 53.98108473, 55.29583445,
       56.66405707, 58.03227969, 59.4005023 , 60.76872492]), array([39.65356444, 40.45336407, 41.25316371, 42.05296334, 42.85276297,
       43.63558529, 44.41840762, 45.20122994, 45.98405226, 46.8587159 ,
       47.73337954, 48.60804318, 49.48270682, 50.31662711, 51.1505474 ,
       51.98446768, 52.81838797, 53.57294735, 54.32750672, 55.08206609,
       55.83662547, 56.52345117, 57.21027688, 57.89710258, 58.58392829,
       59.28992065, 59.99591302, 60.70190538, 61.40789775]), array([48.64190589, 50.08038758, 51.51886927, 52.95735096, 54.39583265,
       55.83431434, 57.27279603, 58.71127772, 60.14975941, 61.5882411 ,
       63.02672279, 64.46520448, 65.90368617, 67.34216786, 68.78064955,
       70.21913124, 71.65761293, 73.09609462, 74.53457631, 75.973058  ,
       77.41153969, 78.85002138, 80.28850307, 81.72698476, 83.16546645,
       84.60394814, 86.04242983, 87.48091152, 88.91939321])]","[[13.341337203979492, 15.995992660522461, 28.7696337978447], [14.099065780639648, 15.65644645690918, 28.7696337978447], [17.808998107910156, 17.49327278137207, 28.7696337978447], [20.638084411621094, 16.67840576171875, 28.7696337978447], [23.223936080932617, 15.091187477111816, 28.7696337978447], [26.294994354248047, 13.7365140914917, 28.7696337978447], [27.364452362060547, 14.119847297668457, 28.7696337978447]]","[30, 29.676594520408266, 29.363969223469407, 29.06176476976205, 28.7696337978447]",29.374392462296885,19,8,5,"[1, 2, 1]",post
"[256.44000000000005, 256.49000000000007, 256.5400000000001, 256.59000000000003, 256.64000000000004, 256.69000000000005, 256.74, 256.79, 256.84000000000003, 256.89000000000004, 256.94000000000005, 256.99, 257.04, 257.09000000000003, 257.14, 257.19, 257.24]","[array([44.43890326, 44.52427288, 44.6096425 , 44.69501213, 44.78038175,
       44.87538308, 44.9703844 , 45.06538573, 45.16038706, 45.25734965,
       45.35431224, 45.45127483, 45.54823742, 45.67747531, 45.8067132 ,
       45.93595109, 46.06518898]), array([44.45345172, 44.54289806, 44.63234439, 44.72179073, 44.81123707,
       44.96400471, 45.11677236, 45.26954   , 45.42230765, 45.63693065,
       45.85155365, 46.06617665, 46.28079964, 46.51062392, 46.7404482 ,
       46.97027249, 47.20009677]), array([44.63945743, 45.64610998, 46.65276252, 47.65941507, 48.66606761,
       49.51427928, 50.36249095, 51.21070262, 52.05891429, 52.87884056,
       53.69876682, 54.51869308, 55.33861934, 56.16542999, 56.99224063,
       57.81905128, 58.64586193]), array([66.85510776, 68.29300675, 69.73090575, 71.16880474, 72.60670374,
       74.04460273, 75.48250173, 76.92040072, 78.35829972, 79.79619871,
       81.23409771, 82.6719967 , 84.1098957 , 85.54779469, 86.98569369,
       88.42359268, 89.86149168])]","[[1.7073924541473389, 1.7889267206192017, 20.1330509185791, 28.757979901218878], [1.900026559829712, 3.0553529262542725, 16.9642333984375, 28.757979901218878], [1.9392517805099487, 4.292459964752197, 16.39852523803711, 28.757979901218878], [2.5847578048706055, 4.596485614776611, 16.536212921142578, 28.757979901218878]]","[30, 29.67760541565324, 29.363270695914924, 29.05679434417008, 28.757979901218878]",29.371130071391423,20,8,5,"[1, 2, 1]",post
